seed,fold,group_id
42,0,NTHU::001
42,0,NTHU::005
42,0,SUST::video::d_1
42,0,SUST::video::d_10
42,0,SUST::video::d_101
42,0,SUST::video::d_102
42,0,SUST::video::d_104
42,0,SUST::video::d_108
42,0,SUST::video::d_110
42,0,SUST::video::d_112
42,0,SUST::video::d_114
42,0,SUST::video::d_116
42,0,SUST::video::d_117
42,0,SUST::video::d_118
42,0,SUST::video::d_119
42,0,SUST::video::d_12
42,0,SUST::video::d_121
42,0,SUST::video::d_122
42,0,SUST::video::d_123
42,0,SUST::video::d_126
42,0,SUST::video::d_129
42,0,SUST::video::d_13
42,0,SUST::video::d_130
42,0,SUST::video::d_133
42,0,SUST::video::d_135
42,0,SUST::video::d_138
42,0,SUST::video::d_139
42,0,SUST::video::d_142
42,0,SUST::video::d_144
42,0,SUST::video::d_148
42,0,SUST::video::d_149
42,0,SUST::video::d_151
42,0,SUST::video::d_153
42,0,SUST::video::d_157
42,0,SUST::video::d_159
42,0,SUST::video::d_160
42,0,SUST::video::d_162
42,0,SUST::video::d_163
42,0,SUST::video::d_166
42,0,SUST::video::d_168
42,0,SUST::video::d_170
42,0,SUST::video::d_172
42,0,SUST::video::d_174
42,0,SUST::video::d_176
42,0,SUST::video::d_177
42,0,SUST::video::d_182
42,0,SUST::video::d_184
42,0,SUST::video::d_185
42,0,SUST::video::d_187
42,0,SUST::video::d_189
42,0,SUST::video::d_193
42,0,SUST::video::d_195
42,0,SUST::video::d_196
42,0,SUST::video::d_198
42,0,SUST::video::d_20
42,0,SUST::video::d_202
42,0,SUST::video::d_206
42,0,SUST::video::d_208
42,0,SUST::video::d_210
42,0,SUST::video::d_215
42,0,SUST::video::d_218
42,0,SUST::video::d_22
42,0,SUST::video::d_222
42,0,SUST::video::d_223
42,0,SUST::video::d_226
42,0,SUST::video::d_227
42,0,SUST::video::d_23
42,0,SUST::video::d_233
42,0,SUST::video::d_234
42,0,SUST::video::d_236
42,0,SUST::video::d_238
42,0,SUST::video::d_241
42,0,SUST::video::d_242
42,0,SUST::video::d_247
42,0,SUST::video::d_249
42,0,SUST::video::d_253
42,0,SUST::video::d_255
42,0,SUST::video::d_256
42,0,SUST::video::d_257
42,0,SUST::video::d_259
42,0,SUST::video::d_261
42,0,SUST::video::d_264
42,0,SUST::video::d_265
42,0,SUST::video::d_267
42,0,SUST::video::d_270
42,0,SUST::video::d_274
42,0,SUST::video::d_278
42,0,SUST::video::d_279
42,0,SUST::video::d_280
42,0,SUST::video::d_283
42,0,SUST::video::d_288
42,0,SUST::video::d_290
42,0,SUST::video::d_292
42,0,SUST::video::d_295
42,0,SUST::video::d_298
42,0,SUST::video::d_299
42,0,SUST::video::d_300
42,0,SUST::video::d_306
42,0,SUST::video::d_307
42,0,SUST::video::d_309
42,0,SUST::video::d_31
42,0,SUST::video::d_315
42,0,SUST::video::d_318
42,0,SUST::video::d_321
42,0,SUST::video::d_323
42,0,SUST::video::d_327
42,0,SUST::video::d_33
42,0,SUST::video::d_331
42,0,SUST::video::d_332
42,0,SUST::video::d_333
42,0,SUST::video::d_335
42,0,SUST::video::d_338
42,0,SUST::video::d_343
42,0,SUST::video::d_347
42,0,SUST::video::d_349
42,0,SUST::video::d_353
42,0,SUST::video::d_358
42,0,SUST::video::d_360
42,0,SUST::video::d_361
42,0,SUST::video::d_367
42,0,SUST::video::d_370
42,0,SUST::video::d_373
42,0,SUST::video::d_377
42,0,SUST::video::d_38
42,0,SUST::video::d_381
42,0,SUST::video::d_382
42,0,SUST::video::d_386
42,0,SUST::video::d_387
42,0,SUST::video::d_393
42,0,SUST::video::d_398
42,0,SUST::video::d_399
42,0,SUST::video::d_403
42,0,SUST::video::d_404
42,0,SUST::video::d_406
42,0,SUST::video::d_410
42,0,SUST::video::d_415
