dataset_name,subject_id,video_id,window_start_ms,window_end_ms,label,raw_probability,calibrated_probability,prediction,error_type
NTHU,006,006_glasses_nonsleepyCombination,2166.67,4166.67,0,0.5882216531799923,0.6333381102195613,1,FP
NTHU,006,006_glasses_nonsleepyCombination,2666.67,4666.67,0,0.5877300434565491,0.6326717280348827,1,FP
NTHU,006,006_glasses_nonsleepyCombination,5166.67,7166.67,0,0.4511164229507629,0.4415610176161141,1,FP
NTHU,006,006_glasses_nonsleepyCombination,5666.67,7666.67,0,0.40940041279858796,0.38330647553812713,1,FP
NTHU,006,006_glasses_nonsleepyCombination,6166.67,8166.67,0,0.42424625191097637,0.4039103012952255,1,FP
NTHU,006,006_glasses_nonsleepyCombination,6666.67,8666.67,0,0.42068360555142653,0.3989507292044133,1,FP
NTHU,006,006_glasses_nonsleepyCombination,18166.67,20166.67,0,0.5563674637619568,0.5896543602176243,1,FP
NTHU,006,006_glasses_nonsleepyCombination,18666.67,20666.67,0,0.5127117905688582,0.5285563713575927,1,FP
NTHU,006,006_glasses_nonsleepyCombination,19166.67,21166.67,0,0.5634869192071045,0.599499370632886,1,FP
NTHU,006,006_glasses_nonsleepyCombination,19666.67,21666.67,0,0.48995785595104063,0.49641744577474023,1,FP
NTHU,006,006_glasses_nonsleepyCombination,20166.67,22166.67,0,0.5522195720486764,0.5838998140062875,1,FP
NTHU,006,006_glasses_nonsleepyCombination,20666.67,22666.67,0,0.4408366306252961,0.4271122839438856,1,FP
NTHU,006,006_glasses_nonsleepyCombination,21166.67,23166.67,0,0.6674059971796753,0.7363294076066852,1,FP
NTHU,006,006_glasses_nonsleepyCombination,21666.67,23666.67,0,0.605378842896984,0.656416542740912,1,FP
NTHU,006,006_glasses_nonsleepyCombination,22166.67,24166.67,0,0.557943346828153,0.5918371276643062,1,FP
NTHU,006,006_glasses_nonsleepyCombination,22666.67,24666.67,0,0.4616358157865166,0.45638836830627055,1,FP
NTHU,006,006_glasses_nonsleepyCombination,23166.67,25166.67,0,0.523933978686034,0.5443559403208932,1,FP
NTHU,006,006_glasses_nonsleepyCombination,24166.67,26166.67,0,0.41785959794332195,0.3950259324153673,1,FP
NTHU,006,006_glasses_nonsleepyCombination,32166.67,34166.67,0,0.4888760141471581,0.49488761581561397,1,FP
NTHU,006,006_glasses_nonsleepyCombination,32666.67,34666.67,0,0.5222451288714869,0.5419813641241269,1,FP
NTHU,006,006_glasses_nonsleepyCombination,33166.67,35166.67,0,0.5365556456993383,0.5620593084556721,1,FP
NTHU,006,006_glasses_nonsleepyCombination,34166.67,36166.67,0,0.4706217841575629,0.46907799681016216,1,FP
NTHU,006,006_glasses_nonsleepyCombination,34666.67,36666.67,0,0.46156918942803626,0.4562943507816428,1,FP
NTHU,006,006_glasses_nonsleepyCombination,35166.67,37166.67,0,0.5028441353515054,0.5146308369486381,1,FP
NTHU,006,006_glasses_nonsleepyCombination,35666.67,37666.67,0,0.5094941508904279,0.524018357749582,1,FP
NTHU,006,006_glasses_nonsleepyCombination,36166.67,38166.67,0,0.4846067078140356,0.48885003306654773,1,FP
NTHU,006,006_glasses_nonsleepyCombination,36666.67,38666.67,0,0.531945533705431,0.55560255615441,1,FP
NTHU,006,006_glasses_nonsleepyCombination,37166.67,39166.67,0,0.6067701609412695,0.6582720152973156,1,FP
NTHU,006,006_glasses_nonsleepyCombination,37666.67,39666.67,0,0.5676836080261091,0.6052823746752931,1,FP
NTHU,006,006_glasses_nonsleepyCombination,38166.67,40166.67,0,0.45652395916880806,0.4491786070565348,1,FP
NTHU,006,006_glasses_nonsleepyCombination,41166.67,43166.67,0,0.4304443435689606,0.41255912109531023,1,FP
NTHU,006,006_glasses_nonsleepyCombination,41666.67,43666.67,0,0.466859833752786,0.4637634487374241,1,FP
NTHU,006,006_glasses_nonsleepyCombination,51666.67,53666.67,0,0.488093883856475,0.4937815742275484,1,FP
NTHU,006,006_glasses_nonsleepyCombination,52166.67,54166.67,0,0.4081338223452167,0.3815567979831811,1,FP
NTHU,006,006_glasses_nonsleepyCombination,52666.67,54666.67,0,0.4936242826931562,0.5016015561591265,1,FP
NTHU,006,006_glasses_nonsleepyCombination,53166.67,55166.67,0,0.4836129374955445,0.48744463803847266,1,FP
NTHU,006,006_glasses_nonsleepyCombination,53666.67,55666.67,0,0.4984465200702532,0.5084178252207704,1,FP
NTHU,006,006_glasses_nonsleepyCombination,54166.67,56166.67,0,0.572694511937838,0.6121663039825294,1,FP
NTHU,006,006_glasses_nonsleepyCombination,54666.67,56666.67,0,0.5367872376460685,0.5623833536623956,1,FP
NTHU,006,006_glasses_nonsleepyCombination,55166.67,57166.67,0,0.5876924894359202,0.6326208120488019,1,FP
NTHU,006,006_glasses_nonsleepyCombination,55666.67,57666.67,0,0.5876924894359202,0.6326208120488019,1,FP
NTHU,006,006_glasses_nonsleepyCombination,56166.67,58166.67,0,0.6352897227195519,0.6957115988652918,1,FP
NTHU,006,006_glasses_nonsleepyCombination,56666.67,58666.67,0,0.6185352381202848,0.6738583006845613,1,FP
NTHU,006,006_glasses_nonsleepyCombination,57166.67,59166.67,0,0.758882274554375,0.8406677470141157,1,FP
NTHU,006,006_glasses_nonsleepyCombination,57666.67,59666.67,0,0.411184952920274,0.3857739613872623,1,FP
NTHU,006,006_glasses_nonsleepyCombination,58166.67,60166.67,0,0.5982965597388935,0.6469333180788566,1,FP
NTHU,006,006_glasses_nonsleepyCombination,58666.67,60666.67,0,0.5979605935078086,0.6464819051688385,1,FP
NTHU,006,006_glasses_nonsleepyCombination,62666.67,64666.67,0,0.424735315806308,0.4045918191760333,1,FP
NTHU,006,006_glasses_nonsleepyCombination,63666.67,65666.67,0,0.6928281000135779,0.7671380942905075,1,FP
NTHU,006,006_glasses_nonsleepyCombination,65166.67,67166.67,0,0.4390210233580635,0.4245654969200613,1,FP
NTHU,006,006_glasses_nonsleepyCombination,65666.67,67666.67,0,0.6152856241968289,0.6695722194632826,1,FP
NTHU,006,006_glasses_nonsleepyCombination,67166.67,69166.67,0,0.41359160781412707,0.38910582194291227,1,FP
NTHU,006,006_glasses_nonsleepyCombination,68166.67,70166.67,0,0.6397780874233269,0.701492553053761,1,FP
NTHU,006,006_glasses_nonsleepyCombination,68666.67,70666.67,0,0.47653565014090987,0.4774369982115298,1,FP
NTHU,006,006_glasses_nonsleepyCombination,69166.67,71166.67,0,0.4650768016832785,0.4612455175380616,1,FP
NTHU,006,006_glasses_nonsleepyCombination,69666.67,71666.67,0,0.47210824166523263,0.47117859914057625,1,FP
NTHU,006,006_glasses_nonsleepyCombination,70666.67,72666.67,0,0.41595993787786545,0.39238916938273594,1,FP
NTHU,006,006_glasses_nonsleepyCombination,71166.67,73166.67,0,0.4305858766797444,0.4127569030075958,1,FP
NTHU,006,006_glasses_nonsleepyCombination,72166.67,74166.67,0,0.40641998674432317,0.3791915031578217,1,FP
NTHU,006,006_glasses_nonsleepyCombination,73166.67,75166.67,0,0.46218663995954185,0.4571656897971473,1,FP
NTHU,006,006_glasses_nonsleepyCombination,73666.67,75666.67,0,0.541782078292308,0.5693643964014661,1,FP
NTHU,006,006_glasses_nonsleepyCombination,79166.67,81166.67,0,0.46858326350119844,0.46619783252148544,1,FP
NTHU,006,006_glasses_nonsleepyCombination,79666.67,81666.67,0,0.43716793639556256,0.42196790402827505,1,FP
NTHU,006,006_glasses_nonsleepyCombination,84166.67,86166.67,0,0.4086245684560429,0.3822345551104309,1,FP
NTHU,006,006_glasses_nonsleepyCombination,84666.67,86666.67,0,0.5165117116174035,0.5339114180007867,1,FP
NTHU,006,006_glasses_nonsleepyCombination,85166.67,87166.67,0,0.548987910849916,0.5794074626564495,1,FP
NTHU,006,006_glasses_nonsleepyCombination,88166.67,90166.67,0,0.40206274653345825,0.37318980208562497,1,FP
NTHU,006,006_glasses_nonsleepyCombination,88666.67,90666.67,0,0.5124499408946797,0.5281871861787405,1,FP
NTHU,006,006_glasses_nonsleepyCombination,89166.67,91166.67,0,0.626301734024298,0.6840405775253378,1,FP
NTHU,006,006_glasses_nonsleepyCombination,89666.67,91666.67,0,0.48391725026189525,0.48787499759393543,1,FP
NTHU,006,006_glasses_sleepyCombination,5666.67,7666.67,1,0.1821712594530305,0.11102535108067911,0,FN
NTHU,006,006_glasses_sleepyCombination,6166.67,8166.67,1,0.3183287956802446,0.262324141061667,0,FN
NTHU,006,006_glasses_sleepyCombination,6666.67,8666.67,1,0.2843907474106544,0.22063590669536837,0,FN
NTHU,006,006_glasses_sleepyCombination,7166.67,9166.67,1,0.4011476389905171,0.37193153923760386,0,FN
NTHU,006,006_glasses_sleepyCombination,7666.67,9666.67,1,0.3831585398314519,0.3473671541054159,0,FN
NTHU,006,006_glasses_sleepyCombination,8166.67,10166.67,1,0.37099429077707885,0.33096097069628166,0,FN
NTHU,006,006_glasses_sleepyCombination,8666.67,10666.67,1,0.26336342179519323,0.1960000216704293,0,FN
NTHU,006,006_glasses_sleepyCombination,9166.67,11166.67,1,0.19648690177684086,0.12472654972299059,0,FN
NTHU,006,006_glasses_sleepyCombination,9666.67,11666.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,10166.67,12166.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,10666.67,12666.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,11166.67,13166.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,11666.67,13666.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,12166.67,14166.67,1,0.19399126675431377,0.12229596578211653,0,FN
NTHU,006,006_glasses_sleepyCombination,12666.67,14666.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,13166.67,15166.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,13666.67,15666.67,1,0.21859005355152522,0.147004250020791,0,FN
NTHU,006,006_glasses_sleepyCombination,14166.67,16166.67,1,0.21859005355152522,0.147004250020791,0,FN
NTHU,006,006_glasses_sleepyCombination,14666.67,16666.67,1,0.19729424813839724,0.12551660446546511,0,FN
NTHU,006,006_glasses_sleepyCombination,15166.67,17166.67,1,0.20600322931471324,0.13415444867169923,0,FN
NTHU,006,006_glasses_sleepyCombination,15666.67,17666.67,1,0.24339172761329358,0.17353518128227471,0,FN
NTHU,006,006_glasses_sleepyCombination,16166.67,18166.67,1,0.26041231136564785,0.19262151664351226,0,FN
NTHU,006,006_glasses_sleepyCombination,16666.67,18666.67,1,0.2290317902964644,0.15798263878284924,0,FN
NTHU,006,006_glasses_sleepyCombination,17166.67,19166.67,1,0.2106182911922442,0.1388163433812843,0,FN
NTHU,006,006_glasses_sleepyCombination,17666.67,19666.67,1,0.21395947161736245,0.14222741680482157,0,FN
NTHU,006,006_glasses_sleepyCombination,18166.67,20166.67,1,0.17666825374475567,0.1059164013254405,0,FN
NTHU,006,006_glasses_sleepyCombination,18666.67,20666.67,1,0.18296761270696071,0.11177202461201233,0,FN
NTHU,006,006_glasses_sleepyCombination,19166.67,21166.67,1,0.172927814144545,0.10249485872102777,0,FN
NTHU,006,006_glasses_sleepyCombination,19666.67,21666.67,1,0.17467026204211172,0.10408357834267744,0,FN
NTHU,006,006_glasses_sleepyCombination,20166.67,22166.67,1,0.172927814144545,0.10249485872102777,0,FN
NTHU,006,006_glasses_sleepyCombination,20666.67,22666.67,1,0.1685976224354858,0.09858603859152486,0,FN
NTHU,006,006_glasses_sleepyCombination,21166.67,23166.67,1,0.172927814144545,0.10249485872102777,0,FN
NTHU,006,006_glasses_sleepyCombination,21666.67,23666.67,1,0.1685976224354858,0.09858603859152486,0,FN
NTHU,006,006_glasses_sleepyCombination,22166.67,24166.67,1,0.20619145004369407,0.13434344330852718,0,FN
NTHU,006,006_glasses_sleepyCombination,22666.67,24666.67,1,0.20424417789415533,0.13239286248971965,0,FN
NTHU,006,006_glasses_sleepyCombination,23166.67,25166.67,1,0.36570762963731474,0.3238879199177521,0,FN
NTHU,006,006_glasses_sleepyCombination,23666.67,25666.67,1,0.2443303752206619,0.17456962816995145,0,FN
NTHU,006,006_glasses_sleepyCombination,24166.67,26166.67,1,0.36570762963731474,0.3238879199177521,0,FN
NTHU,006,006_glasses_sleepyCombination,24666.67,26666.67,1,0.29944842697633056,0.23885402394380076,0,FN
NTHU,006,006_glasses_sleepyCombination,25166.67,27166.67,1,0.24496153126160233,0.17526641078571897,0,FN
NTHU,006,006_glasses_sleepyCombination,25666.67,27666.67,1,0.23441359088348418,0.16375072823042078,0,FN
NTHU,006,006_glasses_sleepyCombination,26166.67,28166.67,1,0.21406516023808145,0.14233580575350013,0,FN
NTHU,006,006_glasses_sleepyCombination,26666.67,28666.67,1,0.19063807828839863,0.11905794243061933,0,FN
NTHU,006,006_glasses_sleepyCombination,27166.67,29166.67,1,0.18697924303643212,0.11556138782663818,0,FN
NTHU,006,006_glasses_sleepyCombination,27666.67,29666.67,1,0.17708599829096316,0.10630110637075715,0,FN
NTHU,006,006_glasses_sleepyCombination,28166.67,30166.67,1,0.17811929247409847,0.10725489088834345,0,FN
NTHU,006,006_glasses_sleepyCombination,28666.67,30666.67,1,0.1685976224354858,0.09858603859152486,0,FN
NTHU,006,006_glasses_sleepyCombination,29166.67,31166.67,1,0.19470207571696824,0.12298645742853084,0,FN
NTHU,006,006_glasses_sleepyCombination,29666.67,31666.67,1,0.35293247405056966,0.30695115197055994,0,FN
NTHU,006,006_glasses_sleepyCombination,30166.67,32166.67,1,0.35293247405056966,0.30695115197055994,0,FN
